Idx,Level,Exp
0,1,1
1,2,10
2,3,20
3,4,40
4,5,60
5,6,80
6,7,100
7,8,120
8,9,140
9,10,180
10,11,200
11,12,300
12,13,301
13,14,302
14,15,303
15,16,304
16,17,305
17,18,306
18,19,307
19,20,308
20,21,309
21,22,310
22,23,311
23,24,312
24,25,313
25,26,314
26,27,315
27,28,316
28,29,317
29,30,318
30,31,319
31,32,320
32,33,321
33,34,322
34,35,323
35,36,324
36,37,325
37,38,326
38,39,327
39,40,328
40,41,329
41,42,330
42,43,331
43,44,332
44,45,333
45,46,334
46,47,335
47,48,336
48,49,337
49,50,338
50,51,339
51,52,340
52,53,341
53,54,342
54,55,343
55,56,344
56,57,345
57,58,346
58,59,347
59,60,348
60,61,349
61,62,350
62,63,351
63,64,352
64,65,353
65,66,354
66,67,355
67,68,356
68,69,357
69,70,358
70,71,359
71,72,360
72,73,361
73,74,362
74,75,363
75,76,364
76,77,365
77,78,366
78,79,367
79,80,368
80,81,369
81,82,370
82,83,371
83,84,372
84,85,373
85,86,374
86,87,375
87,88,376
88,89,377
89,90,378
90,91,379
91,92,380
92,93,381
93,94,382
94,95,383
95,96,384
96,97,385
97,98,386
98,99,387
99,100,388
100,101,389
101,102,390
102,103,391
103,104,392
104,105,393
105,106,394
106,107,395
107,108,396
108,109,397
109,110,398
110,111,399
111,112,400
112,113,401
113,114,402
114,115,403
115,116,404
116,117,405
117,118,406
118,119,407
119,120,408
120,121,409
121,122,410
122,123,411
123,124,412
124,125,413
125,126,414
126,127,415
127,128,416
